Card Number,Print Total,Pokemon Number,Name,Type,Set Name,Normal Price,Reverse Holo Price,Holo Price
80,99,52,Meowth,Colorless,Next Destinies,0.18,0.58,0,2022/06/17
116,198,137,Porygon,Colorless,Chilling Reign,0.02,0.09,0,2022/06/17
118,198,474,Porygon-Z,Colorless,Chilling Reign,0,0.4,0.3,2022/06/17
123,198,492,Shaymin,Colorless,Chilling Reign,0,0.34,0.28,2022/06/17
127,198,819,Skwovet,Colorless,Chilling Reign,0.02,0.1,0,2022/06/17
120,198,335,Zangoose,Colorless,Chilling Reign,0.1,0.13,0,2022/06/17
3,198,15,Beedrill,Grass,Chilling Reign,0,1.77,1.34,2022/06/17
13,198,761,Bounsweet,Grass,Chilling Reign,0.02,0.09,0,2022/06/17
11,198,585,Deerling,Grass,Chilling Reign,0.02,0.09,0,2022/06/17
18,185,673,Gogoat,Grass,Vivid Voltage,0.03,0.19,0,2022/06/17
16,198,810,Grookey,Grass,Chilling Reign,0.02,0.13,0,2022/06/17
6,198,214,Heracross,Grass,Chilling Reign,0.02,0.14,0,2022/06/17
2,198,14,Kakuna,Grass,Chilling Reign,0.03,0.15,0,2022/06/17
5,198,166,Ledian,Grass,Chilling Reign,0.03,0.11,0,2022/06/17
4,198,165,Ledyba,Grass,Chilling Reign,0.02,0.07,0,2022/06/17
20,185,826,Orbeetle V,Grass,Vivid Voltage,0,0,0.76,2022/06/17
9,198,459,Snover,Grass,Chilling Reign,0.03,0.12,0,2022/06/17
14,198,762,Steenee,Grass,Chilling Reign,0.02,0.1,0,2022/06/17
5,72,357,Tropius,Grass,Shining Fates,0.02,0.15,0,2022/06/17
15,198,763,Tsareena,Grass,Chilling Reign,0.08,0.14,0,2022/06/17
1,111,13,Weedle,Grass,Crimson Invasion,0.09,0.24,0,2022/06/17
1,198,13,Weedle,Grass,Chilling Reign,0.03,0.14,0,2022/06/17
2,72,469,Yanmega,Grass,Shining Fates,0.06,0.19,0,2022/06/17
16,72,893,Zarude,Grass,Shining Fates,0.08,0.27,0,2022/06/17
19,198,893,Zarude,Grass,Chilling Reign,0,0.43,0.42,2022/06/17
49,198,181,Ampharos,Lightning,Chilling Reign,0.09,0.18,0,2022/06/17
50,198,522,Blitzle,Lightning,Chilling Reign,0.02,0.1,0,2022/06/17
59,185,604,Eelektross,Lightning,Vivid Voltage,0.13,0.17,0,2022/06/17
48,198,180,Flaaffy,Lightning,Chilling Reign,0.03,0.14,0,2022/06/17
27,119,596,Galvantula,Lightning,Phantom Forces,0.24,0.4,0,2022/06/17
32,72,404,Luxio,Lightning,Shining Fates,0.03,0.18,0,2022/06/17
36,72,877,Morpeko,Lightning,Shining Fates,0.03,0.18,0,2022/06/17
51,198,523,Zebstrika,Lightning,Chilling Reign,0.07,0.17,0,2022/06/17
60,185,644,Zekrom,Lightning,Vivid Voltage,0,0.32,0.3,2022/06/17
10,198,460,Abomasnow,Grass,Chilling Reign,0.09,0.23,0,2022/06/17
13,198,761,Bounsweet,Grass,Chilling Reign,0.02,0.09,0,2022/06/17
3,68,12,Butterfree,Grass,Hidden Fates,0.23,0.7,0,2022/06/17
3,149,12,Butterfree,Grass,Sun & Moon,0.21,0.35,0,2022/06/17
4,72,331,Cacnea,Grass,Shining Fates,0.02,0.12,0,2022/06/17
5,111,331,Cacnea,Grass,Crimson Invasion,0.06,0.27,0,2022/06/17
6,111,332,Cacturne,Grass,Crimson Invasion,0.2,0.31,0,2022/06/17
3,108,10,Caterpie,Grass,Evolutions,0.07,0.26,0,2022/06/17
3,72,251,Celebi,Grass,Shining Fates,0.17,0.27,0,2022/06/17
7,72,723,Dartrix,Grass,Shining Fates,0.04,0.19,0,2022/06/17
12,189,723,Dartrix,Grass,Darkness Ablaze,0.04,0.2,0,2022/06/17
15,236,585,Deerling,Grass,Cosmic Eclipse,0.09,0.3,0,2022/06/17
11,198,585,Deerling,Grass,Chilling Reign,0.02,0.09,0,2022/06/17
19,185,781,Dhelmise,Grass,Vivid Voltage,0.03,0.15,0,2022/06/17
15,72,830,Eldegoss,Grass,Shining Fates,0.03,0.25,0,2022/06/17
5,185,103,Exeggutor,Grass,Vivid Voltage,0.11,0.26,0,2022/06/17
5,147,44,Gloom,Grass,Burning Shadows,0.12,0.27,0,2022/06/17
2,98,44,Gloom,Grass,Ancient Origins,0.15,0.28,0,2022/06/17
18,185,673,Gogoat,Grass,Vivid Voltage,0.03,0.19,0,2022/06/17
14,72,829,Gossifleur,Grass,Shining Fates,0.05,0.18,0,2022/06/17
11,72,810,Grookey,Grass,Shining Fates,0.03,0.14,0,2022/06/17
16,198,810,Grookey,Grass,Chilling Reign,0.02,0.13,0,2022/06/17
13,149,736,Grubbin,Grass,Sun & Moon,0.05,0.22,0,2022/06/17
6,198,214,Heracross,Grass,Chilling Reign,0.02,0.14,0,2022/06/17
2,185,14,Kakuna,Grass,Vivid Voltage,0.02,0.16,0,2022/06/17
2,198,14,Kakuna,Grass,Chilling Reign,0.03,0.15,0,2022/06/17
7,111,588,Karrablast,Grass,Crimson Invasion,0.08,0.14,0,2022/06/17
5,198,166,Ledian,Grass,Chilling Reign,0.03,0.11,0,2022/06/17
4,198,165,Ledyba,Grass,Chilling Reign,0.02,0.07,0,2022/06/17
2,149,11,Metapod,Grass,Sun & Moon,0.09,0.25,0,2022/06/17
11,185,274,Nuzleaf,Grass,Vivid Voltage,0.02,0.16,0,2022/06/17
18,236,722,Rowlet,Grass,Cosmic Eclipse,0.14,0.48,0,2022/06/17
6,72,722,Rowlet,Grass,Shining Fates,0.05,0.17,0,2022/06/17
9,149,722,Rowlet,Grass,Sun & Moon,0.07,0.28,0,2022/06/17
12,198,586,Sawsbuck,Grass,Chilling Reign,0.11,0.11,0,2022/06/17
11,168,273,Seedot,Grass,Celestial Storm,0.08,0.25,0,2022/06/17
12,168,273,Seedot,Grass,Celestial Storm,0.09,0.24,0,2022/06/17
10,185,273,Seedot,Grass,Vivid Voltage,0.02,0.15,0,2022/06/17
17,185,672,Skiddo,Grass,Vivid Voltage,0.03,0.12,0,2022/06/17
9,198,459,Snover,Grass,Chilling Reign,0.03,0.12,0,2022/06/17
14,198,762,Steenee,Grass,Chilling Reign,0.02,0.1,0,2022/06/17
15,189,762,Steenee,Grass,Darkness Ablaze,0.03,0.18,0,2022/06/17
1,101,283,Surskit,Grass,Plasma Blast,0.2,0.4,0,2022/06/17
7,147,114,Tangela,Grass,Burning Shadows,0.09,0.19,0,2022/06/17
17,198,811,Thwackey,Grass,Chilling Reign,0.03,0.12,0,2022/06/17
12,72,811,Thwackey,Grass,Shining Fates,0.03,0.2,0,2022/06/17
75,109,252,Treecko,Grass,Ruby & Sapphire,0.48,3.26,0,2022/06/17
6,160,252,Treecko,Grass,Primal Clash,0.18,0.31,0,2022/06/17
5,72,357,Tropius,Grass,Shining Fates,0.02,0.15,0,2022/06/17
21,168,357,Tropius,Grass,Celestial Storm,0.18,0.26,0,2022/06/17
15,198,763,Tsareena,Grass,Chilling Reign,0.08,0.14,0,2022/06/17
1,198,13,Weedle,Grass,Chilling Reign,0.03,0.14,0,2022/06/17
1,160,13,Weedle,Grass,Primal Clash,0.18,0.27,0,2022/06/17
5,108,13,Weedle,Grass,Evolutions,0.06,0.34,0,2022/06/17
6,185,193,Yanma,Grass,Vivid Voltage,0.03,0.16,0,2022/06/17
1,72,193,Yanma,Grass,Shining Fates,0.02,0.13,0,2022/06/17
2,72,469,Yanmega,Grass,Shining Fates,0.06,0.19,0,2022/06/17
7,185,469,Yanmega,Grass,Vivid Voltage,0.16,0.27,0,2022/06/17
16,72,893,Zarude,Grass,Shining Fates,0.08,0.27,0,2022/06/17
111,198,306,Aggron,Metal,Chilling Reign,0.11,0.28,0,2022/06/17
109,198,304,Aron,Metal,Chilling Reign,0.02,0.1,0,2022/06/17
114,198,638,Cobalion,Metal,Chilling Reign,0,0.37,0.25,2022/06/17
123,185,597,Ferroseed,Metal,Vivid Voltage,0.03,0.13,0,2022/06/17
126,189,600,Klang,Metal,Darkness Ablaze,0.03,0.16,0,2022/06/17
110,198,305,Lairon,Metal,Chilling Reign,0.03,0.12,0,2022/06/17
113,185,863,Galarian Perrserker,Metal,Vivid Voltage,0.14,0.25,0,2022/06/17
74,102,54,Psyduck,Water,HS—Triumphant,0.33,8.47,0,2022/06/17
52,236,365,Walrein,Water,Cosmic Eclipse,0.25,0.43,0,2022/06/17
32,168,258,Mudkip,Water,Celestial Storm,0.19,0.5,0,2022/06/17
35,185,503,Samurott,Water,Vivid Voltage,0.19,0.37,0,2022/06/17
39,185,834,Drednaw,Water,Vivid Voltage,0.17,0.19,0,2022/06/17
10,185,273,Seedot,Grass,Vivid Voltage,0.02,0.15,0,2022/06/17
7,198,251,Celebi V,Grass,Chilling Reign,0,0,0.93,2022/06/17
8,198,251,Celebi VMAX,Grass,Chilling Reign,0,0,1.76,2022/06/17
23,111,224,Octillery,Water,Crimson Invasion,0.21,0.26,0,2022/06/17
106,147,163,Hoothoot,Colorless,Burning Shadows,0.08,0.26,0,2022/06/17
52,72,133,Eevee,Colorless,Shining Fates,0.06,0.28,0,2022/06/17
114,145,775,Komala,Colorless,Guardians Rising,0.14,0.22,0,2022/06/17
9,108,4,Charmander,Fire,Evolutions,0.08,1.18,0,2022/06/17
42,130,58,Growlithe,Fire,Base Set 2,1.17,0,0,2022/06/17
68,102,37,Vulpix,Fire,Base,0.45,0,0,2022/06/17
80,198,145,Galarian Zapdos V,Fighting,Chilling Reign,0,0,1.44,2022/06/17
72,149,739,Crabrawler,Fighting,Sun & Moon,0.03,0.18,0,2022/06/17
34,73,24,Arbok,Darkness,Champion's Path,0.06,0.19,0,2022/06/17
67,108,559,Scraggy,Darkness,Dark Explorers,0.25,0.49,0,2022/06/17
68,116,551,Sandile,Darkness,Plasma Freeze,0.21,0.36,0,2022/06/17
97,198,146,Galarian Moltres V,Darkness,Chilling Reign,0,0,2.57,2022/06/17
57,181,32,Nidoran ♂,Psychic,Team Up,0.17,0.24,0,2022/06/17
53,108,151,Mew,Psychic,Evolutions,0,3.59,4.34,2022/06/17
50,145,568,Trubbish,Psychic,Guardians Rising,0.15,0.23,0,2022/06/17
58,198,144,Galarian Articuno V,Psychic,Chilling Reign,0,0,1.02,2022/06/17
65,236,752,Araquanid,Water,Cosmic Eclipse,0.13,0.39,0,2022/06/17
41,185,846,Arrokuda,Water,Vivid Voltage,0.03,0.14,0,2022/06/17
35,147,184,Azumarill,Water,Burning Shadows,0.19,0.22,0,2022/06/17
38,147,779,Bruxish,Water,Burning Shadows,0.14,0.26,0,2022/06/17
22,72,418,Buizel,Water,Shining Fates,0.02,0.17,0,2022/06/17
33,198,351,Castform Rainy Form,Water,Chilling Reign,0.03,0.13,0,2022/06/17
34,198,351,Castform Snowy Form,Water,Chilling Reign,0.03,0.13,0,2022/06/17
38,185,833,Chewtle,Water,Vivid Voltage,0.03,0.18,0,2022/06/17
26,72,833,Chewtle,Water,Shining Fates,0.03,0.17,0,2022/06/17
34,149,91,Cloyster,Water,Sun & Moon,0.15,0.24,0,2022/06/17
42,160,341,Corphish,Water,Primal Clash,0.11,0.23,0,2022/06/17
40,185,845,Cramorant,Water,Vivid Voltage,0.03,0.15,0,2022/06/17
39,163,342,Crawdaunt,Water,Battle Styles,0.03,0.14,0,2022/06/17
25,111,342,Crawdaunt,Water,Crimson Invasion,0.19,0.31,0,2022/06/17
32,198,225,Delibird,Water,Chilling Reign,0.02,0.1,0,2022/06/17
34,185,502,Dewott,Water,Vivid Voltage,0.04,0.17,0,2022/06/17
64,236,751,Dewpider,Water,Cosmic Eclipse,0.09,0.23,0,2022/06/17
61,202,834,Drednaw,Water,Sword & Shield,0.12,0.35,0,2022/06/17
42,198,817,Drizzile,Water,Chilling Reign,0.04,0.13,0,2022/06/17
26,111,349,Feebas,Water,Crimson Invasion,0.08,0.19,0,2022/06/17
23,72,419,Floatzel,Water,Shining Fates,0.03,0.13,0,2022/06/17
41,236,55,Golduck,Water,Cosmic Eclipse,0.07,0.36,0,2022/06/17
20,72,116,Horsea,Water,Shining Fates,0.07,0.18,0,2022/06/17
29,198,131,Lapras,Water,Chilling Reign,0.04,0.12,0,2022/06/17
17,68,131,Lapras,Water,Hidden Fates,0.22,1.06,0,2022/06/17
25,62,131,Lapras,Water,Fossil,0,0,0,2022/06/17
44,168,370,Luvdisc,Water,Celestial Storm,0.17,0.46,0,2022/06/17
17,111,129,Magikarp,Water,Crimson Invasion,0.17,0.28,0,2022/06/17
19,98,129,Magikarp,Water,Ancient Origins,0.15,0.28,0,2022/06/17
33,108,129,Magikarp,Water,Evolutions,0.07,0.41,0,2022/06/17
32,147,129,Magikarp,Water,Burning Shadows,0.1,0.27,0,2022/06/17
24,72,490,Manaphy,Water,Shining Fates,0.09,0.21,0,2022/06/17
34,147,183,Marill,Water,Burning Shadows,0.08,0.3,0,2022/06/17
34,160,259,Marshtomp,Water,Primal Clash,0.43,0.67,0,2022/06/17
29,70,350,Milotic,Water,Dragon Majesty,0.24,0.94,0,2022/06/17
33,185,501,Oshawott,Water,Vivid Voltage,0.04,0.19,0,2022/06/17
20,111,221,Piloswine,Water,Crimson Invasion,0.11,0.26,0,2022/06/17
54,236,393,Piplup,Water,Cosmic Eclipse,0.11,0.29,0,2022/06/17
40,236,54,Psyduck,Water,Cosmic Eclipse,0.15,0.42,0,2022/06/17
15,111,60,Poliwag,Water,Furious Fists,0.2,0.27,0,2022/06/17
23,98,369,Relicanth,Water,Ancient Origins,0.07,0.25,0,2022/06/17
22,111,223,Remoraid,Water,Crimson Invasion,0.08,0.19,0,2022/06/17
18,101,223,Remoraid,Water,Plasma Blast,0.31,0.69,0,2022/06/17
32,163,117,Seadra,Water,Battle Styles,0.05,0.17,0,2022/06/17
38,198,364,Sealeo,Water,Chilling Reign,0.09,0.14,0,2022/06/17
28,108,86,Seel,Water,Evolutions,0.07,0.26,0,2022/06/17
29,111,422,Shellos,Water,Crimson Invasion,0.08,0.2,0,2022/06/17
30,198,215,Sneasel,Water,Chilling Reign,0.03,0.09,0,2022/06/17
43,236,215,Sneasel,Water,Cosmic Eclipse,0.11,0.24,0,2022/06/17
29,72,872,Snom,Water,Shining Fates,0.05,0.18,0,2022/06/17
35,198,361,Snorunt,Water,Chilling Reign,0.02,0.12,0,2022/06/17
41,198,816,Sobble,Water,Chilling Reign,0.19,0.48,0,2022/06/17
19,111,220,Swinub,Water,Crimson Invasion,0.09,0.25,0,2022/06/17
37,198,363,Spheal,Water,Chilling Reign,0.03,0.11,0,2022/06/17
50,236,363,Spheal,Water,Cosmic Eclipse,0.06,0.22,0,2022/06/17
58,236,535,Tympole,Water,Cosmic Eclipse,0.08,0.33,0,2022/06/17
25,72,721,Volcanion,Water,Shining Fates,0.08,0.2,0,2022/06/17
39,236,37,Alolan Vulpix,Water,Cosmic Eclipse,0.25,0.47,0,2022/06/17
39,198,365,Walrein,Water,Chilling Reign,0.08,0.25,0,2022/06/17
